Timestamp,Tension,Corriente,totalizado,
2025-06-22T16:19:59.802818,420,0,555107,7560
2025-06-22T16:20:01.225760,420,0,555107,7560
2025-06-22T16:20:02.648730,420,0,555107,7560
2025-06-22T16:20:04.071587,421,0,555107,7578
2025-06-22T16:20:05.494524,420,0,555107,7560
2025-06-22T16:20:06.917340,421,0,555107,7578
2025-06-22T16:20:08.340453,421,0,555107,7578
2025-06-22T16:20:09.763268,422,0,555107,7596
2025-06-22T16:20:11.186207,419,0,555107,7542
2025-06-22T16:20:12.609115,422,0,555107,7596
2025-06-22T16:20:14.032075,421,0,555107,7578
2025-06-22T16:20:15.454832,420,0,555107,7560
2025-06-22T16:20:16.878055,420,0,555107,7560
2025-06-22T16:20:18.300692,421,0,555107,7578
2025-06-22T16:20:19.723697,419,0,555107,7542
2025-06-22T16:20:21.146503,420,0,555107,7560
2025-06-22T16:20:22.569500,420,0,555107,7560
2025-06-22T16:20:23.992662,421,0,555107,7578
2025-06-22T16:20:25.415455,420,0,555107,7560
2025-06-22T16:20:29.513869,420,0,0,7560
2025-06-22T16:20:33.475431,419,0,0,7542
2025-06-22T16:20:34.890408,421,0,0,7578
2025-06-22T16:20:36.313432,511,14743,14743,9198
2025-06-22T16:20:37.736546,517,17188,31931,9306
2025-06-22T16:20:39.163499,519,15008,46939,9342
2025-06-22T16:20:40.586469,518,15013,61952,9324
2025-06-22T16:20:42.009345,524,15075,77027,9432
2025-06-22T16:20:43.432217,521,18390,95417,9378
2025-06-22T16:20:44.860361,518,15145,110562,9324
2025-06-22T16:20:46.287156,518,15238,125800,9324
2025-06-22T16:20:47.714114,522,15105,140905,9396
2025-06-22T16:20:49.141056,518,15188,156093,9324
2025-06-22T16:20:50.568073,521,15095,171188,9378
2025-06-22T16:20:51.994984,519,15180,186368,9342
2025-06-22T16:20:53.421886,517,15240,201608,9306
2025-06-22T16:20:54.848790,521,15233,216841,9378
2025-06-22T16:20:56.275956,517,15240,232081,9306
2025-06-22T16:20:57.702837,514,15275,247356,9252
2025-06-22T16:20:59.129598,519,15238,262594,9342
2025-06-22T16:21:00.556547,520,15248,277842,9360
2025-06-22T16:21:01.983701,525,15308,293150,9450
2025-06-22T16:21:03.410441,520,15285,308435,9360
2025-06-22T16:21:04.837605,526,17043,325478,9468
2025-06-22T16:21:06.264449,521,18305,343783,9378
2025-06-22T16:21:07.691454,522,15325,359108,9396
2025-06-22T16:21:09.118326,522,15340,374448,9396
2025-06-22T16:21:10.541193,506,0,374448,9108
2025-06-22T16:21:11.963937,423,0,374448,7614
2025-06-22T16:21:13.386921,422,0,374448,7596
2025-06-22T16:21:14.809902,422,0,374448,7596
2025-06-22T16:21:16.232766,418,0,374448,7524
2025-06-22T16:21:17.655789,421,0,374448,7578
2025-06-22T16:21:19.078690,420,0,374448,7560
2025-06-22T16:21:20.501544,420,0,374448,7560
2025-06-22T16:21:21.924485,422,0,374448,7596
2025-06-22T16:21:23.347401,422,0,374448,7596
2025-06-22T16:21:24.770315,419,0,374448,7542
2025-06-22T16:21:26.193307,421,0,374448,7578
2025-06-22T16:21:27.616173,420,0,374448,7560
2025-06-22T16:21:29.039114,421,0,374448,7578
2025-06-22T16:21:30.462051,419,0,374448,7542
2025-06-22T16:21:31.884751,420,0,374448,7560
2025-06-22T16:21:33.307838,422,0,374448,7596
2025-06-22T16:21:34.730708,420,0,374448,7560
2025-06-22T16:21:36.156750,430,6015,380463,7740
2025-06-22T16:21:37.580766,517,16595,397058,9306
2025-06-22T16:21:39.007702,519,17983,415041,9342
2025-06-22T16:21:40.434772,522,16818,431859,9396
2025-06-22T16:21:41.861793,517,18410,450269,9306
2025-06-22T16:21:43.288580,520,17270,467539,9360
2025-06-22T16:21:44.715615,518,18775,486314,9324
2025-06-22T16:21:46.142561,518,17748,504062,9324
2025-06-22T16:21:47.569427,519,19175,523237,9342
